date,plate,park_location,service,arrival_time,start_handling_time,stop_handling_time,exit_time,qtime,htime,extime,dtime,loading,del_pick,del_size,pick_size,refrigerated,vehicle_type,vehicle_model,no_workers,side_company,side_postal,commodity_type,commodity_extra,number_stores,store_name1,store_floor1,store_number1,store_type1,opening1,no_branches1,link1,store_name2,store_floor2,store_number2,store_type2,opening2,no_branches2,link2,store_name3,store_floor3,store_number3,store_type3,opening3,no_branches3,link3,store_name4,store_floor4,store_number4,store_type4,opening4,no_branches4,link4,logo,employer,employer_type,reloads,stops,origin,origin_extra,morning_load,erp,start_work,stop_work,gas_refills,flex,flex_extra
24/06/15,PA5751M,NA,GV,24/06/15 07:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LargeVans,Toyota Hiace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GBA8902R,street,GV,24/06/15 07:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LargeVans,Toyota Hiace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ORIENT PACKAGING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GBD8617Z,NA,GV,24/06/15 07:58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ClosedLightTrucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GW3098U,NA,GV,24/06/15 07:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LargeVans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GX9407S,LB,GV,24/06/15 08:01,24/06/15 08:02,24/06/15 08:09,24/06/15 08:09,1,7,0,8,4,1,1,0,NA,SmallVans,TOYOTA,1,CHUAN AAI TRADING,658080,cosmetics_cleaning,SCOTCH BRITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GZ4721G,NA,GV,24/06/15 08:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ClosedLightTrucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GBC3406D,street,GV,24/06/15 08:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ClosedLightTrucks,NA,NA,NA,NA,stationery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SINGAPORE POST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,YL8214M,LB,GV,24/06/15 08:09,24/06/15 08:10,24/06/15 09:01,24/06/15 09:01,1,51,0,52,1,3,1,2,N,ClosedLightTrucks,MITSUBISHI,1,NA,NA,clothing_accessories,SHOES,1,Cotton On,2,42, fashion, 10am to 10pm,37, http://www.streetdirectory.com/cottonon/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COTTON ON,SUPPLIER,1,9,JURONG EAST,PENGIRU,4,N,04:30,NA,1,NA,NA
24/06/15,GBB2066M,NA,GV,24/06/15 08:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ClosedLightTrucks,NA,NA,NA,NA,prepared_food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KOMALA'S RESTAURANT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GW1984A,NA,GV,24/06/15 08:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SmallVans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
