"district","name","open_close","type","address","floor_area","no_stores_mallwebsite","store_directory","no_stores_streetdirectory","streetdirectory","notes","lon","lat"
"North West","Teck Whye Shopping Centre","open","mall","137 Teck Whye Ln, Singapore 680137",NA,12,"http://services2.hdb.gov.sg/webapp/AA16RMSBusinessDirectory/AA16SLevelmap?SearchOption=1&BLK=137&STREET=Teck+Whye+Lane&pcode=680137&STREETLIST=--&MAIN_TRADE_CODE=0000Please+Select+Category%24&Forward=&FROMHOME=true&Slvl=1&SEARCHPANEL=1&MAIN_TRADE_DESC_HI",5,"http://www.streetdirectory.com/sg/teck-whye-shopping-centre/137-teck-whye-lane-680137/16093_120455.html",NA,103.7525063,1.3799529
"North West","West Mall","open","mall","1 Bukit Batok Central Link, Singapore 658713",17001,115,"http://www.westmall.com.sg/stores.php",159,"http://www.streetdirectory.com/sg/west-mall/1-bukit-batok-central-link-658713/9759_117437.html",NA,103.749107,1.349649
"North West","Yew Tee Point","open","mall","21 Choa Chu Kang North 6, Singapore 689578",6777,71,"http://yewteepoint.fraserscentrepointmalls.com/store.php?CategoryID=594",111,"http://www.streetdirectory.com/sg/yew-tee-point/21-choa-chu-kang-north-6-689578/44703_144282.html",NA,103.7467518,1.3970999
"South","Alexandra Retail Centre","open","mall","460 Alexandra Rd, Singapore 119963",NA,71,"http://www.arc4u.com.sg/shop-directory.aspx",144,"http://www.streetdirectory.com/sg/alexandra-retail-centre/460-alexandra-road-119963/7041_7675.html",NA,103.8013952,1.2739505
"South","HarbourFront Centre","open","mall","1 Maritime Square, 099253",NA,155,"http://www.harbourfrontcentre.com.sg/store.php?CategoryID=594",331,"http://www.streetdirectory.com/sg/harbourfront-centre/1-maritime-square-099253/12980_5629.html",NA,103.8202769,1.2640768
"South","Marina Bay Link Mall","open","mall","8A Marina Boulevard, Singapore 018984",NA,85,"http://www.marinabaylink.com.sg/directory/store-name.html",41,"http://www.streetdirectory.com/sg/marina-bay-link-mall/8a-marina-boulevard-018984/52759_147272.html",NA,103.8541949,1.2801731
"South","Queensway Shopping Centre","open","mall","1 Queensway, Singapore 149053",NA,NA,"http://www.queenswayshoppingcentre.com/",164,"http://www.streetdirectory.com/sg/queensway-shopping-centre/1-queensway-149053/7116_11046.html",NA,103.8033221,1.287537
"South","VivoCity","open","mall","1 Harbourfront Walk, Singapore 098585",139355,334,"http://www.vivocity.com.sg/directory",583,"http://www.streetdirectory.com/sg/vivocity/1-harbourfront-walk-098585/18561_143128.html",NA,103.8223265,1.2642411
"West","Anchorpoint","open","mall","370 Alexandra Road, Singapore 159953",NA,20,"http://anchorpoint.fraserscentrepointmalls.com/store.php?CategoryID=594",69,"http://www.streetdirectory.com/sg/anchorpoint-shopping-centre/370-alexandra-road-159953/280_11691.html",NA,103.8052469,1.2885452
"West","Big Box","open","mall","1 Venture Ave, Singapore 608521",NA,20,"http://www.bigbox.com.sg/shop/malldirectory/",5,"http://www.streetdirectory.com/sg/big-box/1-venture-avenue-608521/51190_407500.html",NA,103.7445214,1.3308357
"West","Boon Lay Shopping Centre","open","mall","221 Boon Lay Pl, Singapore 640221",NA,163,"http://www.where2shop.sg/fi10/fi10334p.nsf/w/ShopperBoonLaySCFloorPlan?OpenDocument",124,"http://www.streetdirectory.com/sg/boon-lay-shopping-centre/221-boon-lay-place-640221/878_115486.html",NA,103.7127554,1.3462189
"West","The Clementi Mall","open","mall","3155 Commonwealth Avenue West, Singapore 129588",NA,142,"https://www.theclementimall.com/stores",161,"http://www.streetdirectory.com/sg/the-clementi-mall/3155-commonwealth-avenue-west-129588/53296_152633.html",NA,103.7642368,1.3149421
"West","Fairprice Hub","open","dep_store","1 Joo Koon Cir, Singapore 629117",NA,NA,"http://www.fairprice.com.sg/webapp/wcs/stores/servlet/en/fairprice",14,"http://www.streetdirectory.com/sg/fairprice-hub/1-joo-koon-circle-629117/103923_402314.html","Department Store",103.6788361,1.3273513
"West","Gek Poh Shopping Centre","open","mall","762 Jurong West Street 75, Singapore 640762",NA,66,"http://www.where2shop.sg/fi10/fi10334p.nsf/w/ShopperGekPohSCFloorPlan?OpenDocument",49,"http://www.streetdirectory.com/sg/gek-poh-shopping-centre/762-jurong-west-street-75-640762/47120_115810.html",NA,103.698195,1.349156
"West","IMM","open","mall","2 Jurong East Street 21, Singapore 609601",87754,217,"http://www.imm.sg/en/store-locator-list/",586,"http://www.streetdirectory.com/sg/imm-building/2-jurong-east-street-21-609601/4119_111676.html",NA,103.746872,1.334938
"West","JCube","open","mall","2 Jurong East Central 1, Singapore 609731",19510,142,"http://www.jcube.com.sg/en/store-locator-list/",120,"http://www.streetdirectory.com/sg/jcube/2-jurong-east-central-1-609731/30986_111691.html",NA,103.740277,1.33352
"West","Jem","open","mall","50 Jurong Gateway Road, Singapore 608549",75995,268,"http://www.jem.sg/store-name.php?Store=&ResultLimit=268",38,"http://www.streetdirectory.com/sg/jurong-east-mall-jem/no.-50-jurong-gateway-road-608549/100036_1.html",NA,103.743657,1.3330657
"West","Jurong Point","open","mall","1 Jurong West Central 2, Singapore 648886",69677,432,"http://www.jurongpoint.com.sg/store-listing",536,"http://www.streetdirectory.com/sg/jurong-point/1-jurong-west-central-2-648886/4388_116714.html",NA,103.7057463,1.3395626
"West","Pioneer Mall","open","mall","638 Jurong West Street 61, Singapore 640638",NA,39,"http://www.where2shop.sg/fi10/fi10334p.nsf/w/ShopperPioneerMallFloorPlan?OpenDocument",0,"http://www.streetdirectory.com/sg/pioneer-mall/638-jurong-west-street-61-640638/6871_115698.html",NA,103.697171,1.341721
"West","Rochester Mall","open","mall","35 Rochester Dr, Singapore 138639",NA,36,"http://www.rochestermall.com.sg/#01-01",24,"http://www.streetdirectory.com/sg/rochester-mall/35-rochester-drive-138639/56753_145487.html",NA,103.788392,1.30528
"West","The Star Vista","open","mall","1 Vista Exchange Green, Singapore 138617",NA,110,"http://www.thestarvista.com/en/store-locator-list/",84,"http://www.streetdirectory.com/sg/the-star-vista/1-vista-exchange-green-138617/45834_152184.html",NA,103.78844,1.306842
"West","Taman Jurong Shopping Centre","open","mall","399 Yung Sheng Rd, Singapore 610399",NA,80,"http://www.where2shop.sg/fi10/fi10334p.nsf/w/ShopperTamanJurongSCFloorPlan?OpenDocument",63,"http://www.streetdirectory.com/sg/taman-jurong-shopping-centre/399-yung-sheng-road-610399/8795_111839.html",NA,103.721053,1.3347739
"West","Tiong Bahru Plaza","open","mall","302 Tiong Bahru Rd, Singapore 168732",17709,65,"http://www.tiongbahruplaza.com.sg/stores/",183,"http://www.streetdirectory.com/sg/tiong-bahru-plaza/302-tiong-bahru-road-168732/9221_12090.html",NA,103.8271874,1.2864777
"West","West Coast Plaza","open","mall","154 West Coast Rd, Singapore 127371",14864,91,"http://www.westcoastplaza.com.sg/home/index.aspx?key=shop-byname",182,"http://www.streetdirectory.com/sg/west-coast-plaza/154-west-coast-road-127371/3054_8403.html",NA,103.7662433,1.3036444
"West","Westgate Mall","open","mall","3 Gateway Dr, Singapore 608532",38090,243,"http://westgate.com.sg/en/store-locator-list/",285,"http://www.streetdirectory.com/sg/westgate/3-gateway-drive-608532/100598_402908.html",NA,103.8247713,1.2647406
